"probe","GSM302859","GSM302864","GSM302866","GSM302870","GSM302872","GSM302882","GSM302896","GSM302900","GSM302924","GSM302927","GSM302933","GSM302943","GSM303364","GSM303366","GSM303368","GSM303520","GSM303522","GSM303523","GSM303525","GSM303531","GSM303533"
"205596_s_at",578.772,760.744,804.519,630.234,458.914,566.595,900.782,820.137,372.019,452.048,504.562,499.661,454.868,462.242,612.228,480.935,949.109,383.759,600.644,717.177,392.475
"205597_at",61.4465,31.8356,47.0834,89.8117,100.225,84.7728,77.8214,62.1803,60.46,79.8148,35.7792,77.3067,83.0137,41.6554,54.4967,81.219,54.8276,36.0878,56.351,80.5728,76.5075
"205598_at",59.8204,103.631,62.8289,14.2693,26.1885,28.7423,20.2838,30.5808,34.782,37.5148,11.3815,40.4442,23.0568,87.3891,9.75904,23.3837,82.5483,9.57342,99.6518,26.0524,18.5618
"205599_at",195.22,69.7601,161.005,90.177,410.877,82.4825,217.11,209.649,131.873,202.525,386.349,356.913,334.954,146.039,156.453,250.416,99.6987,135.829,125.535,182.568,170.941
"205600_x_at",248.413,402.276,299.174,229.283,260.289,276.187,254.125,259.033,233.871,158.269,171.246,203.727,247.366,264.84,235.454,274.859,254.666,232.968,308.122,287.249,279.513
"205601_s_at",190.1,332.001,260.902,153.135,176.572,253.105,290.071,195.931,176.664,217.821,299.648,228.473,212.804,224.434,319.398,211.691,216.3,198.994,305.681,318.76,302.806
"205602_x_at",74.6246,104.121,28.3289,30.5182,103.18,76.4805,40.8869,89.3292,19.3893,102.558,67.2101,56.8008,71.003,54.4931,94.3727,95.0734,180.641,56.8344,44.1442,38.2278,21.2273
"205603_s_at",267.378,349.303,356.314,325.783,223.715,259.611,209.382,391.335,353.895,260.847,165.716,274.455,295.965,328.792,294.104,327.156,333.714,357.452,396.864,326.027,269.815
"205604_at",164.397,284.133,170.725,153.253,196.498,215.807,143.673,204.116,356.934,213.881,193.151,248.266,182.08,297.579,143.685,210.846,135.788,328.23,330.848,314.469,260.569
"205605_at",5.33704,20.9187,10.9301,21.7544,9.32524,11.0453,14.3794,12.6876,8.75913,10.9947,14.408,8.58484,7.53121,35.0389,12.738,28.3476,38.1643,11.9628,17.3771,34.2701,11.8029
