cpg,Control,RA,MeanDecreaseAccuracy,MeanDecreaseGini
cg22560837,6.66610917343327,16.5325568011499,16.74320566835,15.4266311042808
cg15643574,6.8243819703076,8.79609571772148,11.092717017347,12.676245489548
cg06999776,3.89150651421475,4.02692429517711,6.80314773096298,11.5610818097605
cg27301343,3.51860841368764,1.06076370666211,3.6745675795199,11.268257753195
cg10186232,2.08642866130054,8.22958338391553,8.68891919851757,10.8837277195352
cg19657380,3.84475199815976,3.06532835428777,5.19757553372551,9.76513229054265
cg23881902,4.69457798532335,0.329026640789717,4.4338671045202,9.15955571055759
cg17484629,-2.578300705908,7.31509359386923,3.76767732618858,9.04812417613155
cg14004673,0.792253886654488,4.51432257795172,4.1909436054159,7.52985619134643
