module,n_cpgs,cor_RA,p_RA,fdr_RA
black,8447,0.301255349437998,9.27231108564705e-12,6.49061775995294e-11
brown,304,-0.280839838112497,2.37232675125801e-10,8.30314362940304e-10
grey,9612,-0.279203002722422,3.04240029992126e-10,
tan,32,0.271499012883755,9.59956481443887e-10,2.2398984567024e-09
yellow,215,-0.178349059492854,7.07403181087624e-05,0.000123795556690334
blue,1341,0.122647761518038,0.00650757464557204,0.00911060450380086
lightgreen,24,0.106059526776557,0.0187348228381212,0.0218572933111414
grey60,25,-0.0224608685252929,0.619546133866036,0.619546133866036
