gene,eQTL_MR_OR,eQTL_MR_pval,eQTL_MR_FDR,eQTL_MHC_region
ATF6,0.99,0.760896,0.952286087,FALSE
SGK1,0.97,0.3466527,0.795595804,FALSE
CCN2,1.15,0.02719873,0.333488015,FALSE
SLC16A7,0.81,0.02480911,0.318826457,FALSE
RAD23B,0.98,0.7899794,0.958833222,FALSE
CTNNAL1,1.04,0.3129373,0.776703849,FALSE
NEK6,1.03,0.2287614,0.71606514,FALSE
NEK9,0.88,0.5578118,0.891964871,FALSE
DNMT3A,0.74,0.01078603,0.224009864,FALSE
HELLS,0.97,0.4134479,0.829671494,FALSE
DUSP1,0.98,0.8767694,0.974314968,FALSE
TGFBI,0.98,0.5028679,0.868942642,FALSE
CLU,0.78,0.222681,0.71376381,FALSE
SPOP,0.95,0.8805058,0.975309952,FALSE
PIK3CA,1.14,0.3318757,0.787194214,FALSE
RECK,0.9,0.5463806,0.887857022,FALSE
EGR2,1.12,0.5077091,0.870320433,FALSE
ITPR2,0.89,0.01498985,0.261467646,FALSE
WWP1,0.95,0.07320565,0.504595747,FALSE
CDK2,1.15,0.5349196,0.882238547,FALSE
HJURP,1.02,0.9175827,0.983838276,FALSE
AGO2,0.94,0.4044087,0.827227699,FALSE
GNMT,0.97,0.3102775,0.774263673,FALSE
CDKN1A,0.99,0.8555028,0.969587115,FALSE
SOX4,1.22,0.2227934,0.71376381,FALSE
DEK,0.98,0.8511177,0.969345641,FALSE
EEF1E1,1.09,0.7130414,0.943106167,FALSE
IRF1,0.72,0.05047061,0.431172939,FALSE
BMP4,0.94,0.6582933,0.932345803,FALSE
GRK4,0.98,0.5224225,0.874752658,FALSE
PAX8,1.03,0.1810754,0.671523686,FALSE
CLPP,0.95,0.4677364,0.852583234,FALSE
CAPNS1,0.96,0.553345,0.890099855,FALSE
IRF3,0.92,0.07939907,0.521199244,FALSE
BECN1,1.09,0.0487556,0.424626978,FALSE
MAP2K2,0.97,0.5524659,0.890084653,FALSE
YEATS4,1,0.8806634,0.975309952,FALSE
PIN1,1.19,0.268289,0.744305905,FALSE
SIN3B,0.99,0.7975348,0.959811144,FALSE
SMARCA4,0.91,0.2399937,0.724196255,FALSE
GNG11,1.06,0.629158,0.925024686,FALSE
DGCR8,1.01,0.7205922,0.943106167,FALSE
IRF5,1.01,0.4760874,0.857476254,FALSE
PLD2,1.04,0.1714999,0.659257798,FALSE
ILF3,0.63,0.09950918,0.562694722,FALSE
BCL2L2,1.43,0.2666428,0.743748197,FALSE
GADD45G,0.94,0.5053075,0.869433843,FALSE
GDF15,1.04,0.5423087,0.886063415,FALSE
ATXN10,1.07,0.2298644,0.716878035,FALSE
PAK4,0.94,0.3301636,0.787194214,FALSE
TRIM28,1.15,0.1399009,0.625134869,FALSE
ATG4D,1.17,0.4128141,0.829671494,FALSE
DNMT1,0.97,0.6405307,0.926742121,FALSE
NR1H2,1.09,0.6695338,0.935987549,FALSE
ACLY,1.04,0.587463,0.905532747,FALSE
NINJ1,1.03,0.3469702,0.795923717,FALSE
LGALS3,1.07,0.756279,0.95138173,FALSE
RRP8,1.01,0.9095814,0.98180514,FALSE
IMMT,1.04,0.05781903,0.456663467,FALSE
RAN,0.87,0.3123867,0.776386377,FALSE
MYBBP1A,1.05,0.6126253,0.916990413,FALSE
GRSF1,0.62,0.1296925,0.608021342,FALSE
KDM6B,0.97,0.7177719,0.943106167,FALSE
XAF1,0.94,0.5899351,0.906880322,FALSE
RBM38,1.18,0.3884694,0.821042693,FALSE
KL,1.07,0.3418238,0.792720556,FALSE
PDZD2,1.02,0.9240963,0.9848739,FALSE
MKRN1,0.93,0.4895463,0.8638308,FALSE
BTG1,1.02,0.9079186,0.981238253,FALSE
RRAS2,0.97,0.4586421,0.849203053,FALSE
MEN1,0.87,0.105516,0.573254919,FALSE
LOXL2,1.01,0.8274975,0.965087088,FALSE
CCNB1,0.88,0.1776926,0.666495822,FALSE
BHLHE40,1.25,0.1577827,0.64177685,FALSE
DDB2,0.89,0.01176073,0.233740787,FALSE
ETS1,1.56,0.01854868,0.289208366,FALSE
DMTF1,0.6,0.07409224,0.508222918,FALSE
MAP3K7,1.06,0.447004,0.842873695,FALSE
CDK4,1.05,0.7538423,0.950847414,FALSE
HNRNPA1,0.82,0.4299364,0.836381045,FALSE
MDM2,1,0.9107461,0.982169711,FALSE
EGLN1,0.91,0.3192651,0.779483615,FALSE
RNASEL,1.04,0.5214656,0.8743626,FALSE
CKAP2,1.03,0.2023373,0.697536896,FALSE
IL6,1.54,0.01268063,0.240747971,FALSE
TRA2B,1,0.9955097,0.99873107,FALSE
IL1RN,0.99,0.9043889,0.980868331,FALSE
BIN1,1.02,0.42494,0.834285711,FALSE
TXN,1.01,0.8109422,0.962136282,FALSE
SMC2,0.93,0.2837242,0.756750067,FALSE
KLF4,0.87,0.7110975,0.943049532,FALSE
SLC31A2,1.02,0.6813448,0.938039449,FALSE
TLR4,1.03,0.2502726,0.73236335,FALSE
MYC,1.59,0.006003871,0.167854259,FALSE
