gene,eQTL_MR_OR,eQTL_MR_pval,eQTL_MR_FDR,eQTL_MHC_region
PPARG,0.86,0.002096165,0.086610228,FALSE
RAF1,1.29,0.00187655,0.080944263,FALSE
JUNB,0.57,0.01935382,0.293167195,FALSE
ERRFI1,1.89,0.01983147,0.296264425,FALSE
CHEK2,0.67,0.01647849,0.273562651,FALSE
ATM,0.82,0.01852535,0.28913173,FALSE
NEK4,0.58,0.008976132,0.205743429,FALSE
DOT1L,0.73,0.01303715,0.244267652,FALSE
DNMT3B,0.64,0.01059233,0.221985588,FALSE
IL24,1.28,0.004310702,0.135908297,FALSE
ARPC1B,1.18,0.002539438,0.099430713,FALSE
FBXO4,0.65,0.01416344,0.256493854,FALSE
BRIP1,1.56,0.004759739,0.145766707,FALSE
CDKN2AIP,0.7,0.004207132,0.133716963,FALSE
TOM1,0.94,0.002729254,0.103601554,FALSE
TGFB2,1.88,0.005674633,0.161541843,FALSE
EP300,0.84,0.001699616,0.075931374,FALSE
CBX8,1.72,0.004663539,0.144707956,FALSE
TERF2,0.77,0.001049135,0.054908229,FALSE
ZNF217,0.87,0.002155978,0.088193989,FALSE
WNT16,1.04,0.8634466,0.972110029,FALSE
MAD1L1,1.04,0.4240172,0.833893776,FALSE
KDM1A,1.08,0.3606496,0.804266359,FALSE
MEOX1,1.01,0.8897058,0.977207774,FALSE
GGCT,1.03,0.4850531,0.861810425,FALSE
MATK,1.05,0.6674489,0.935012061,FALSE
PSMB1,1.03,0.4748094,0.85719011,FALSE
NADK,1.07,0.5962194,0.910697707,FALSE
SPAG9,1.04,0.7141009,0.943106167,FALSE
ELOA,1.04,0.154003,0.637733553,FALSE
PIK3C2A,0.99,0.6478699,0.929258494,FALSE
BRCA1,0.97,0.521956,0.874705138,FALSE
ERCC1,1.03,0.5372069,0.882572974,FALSE
MVP,1.07,0.2652137,0.74334597,FALSE
TACC3,1,0.9360608,0.985279163,FALSE
MDH1,1.14,0.1079708,0.579506858,FALSE
ZMYND11,0.79,0.276092,0.750057341,FALSE
NCAPH2,0.82,0.2712048,0.746186999,FALSE
PRKCH,1.06,0.773678,0.955519411,FALSE
TBPL1,1.11,0.05199162,0.437988567,FALSE
GRN,0.98,0.7572869,0.951552596,FALSE
MAP2K3,0.98,0.9129355,0.982723179,FALSE
NSUN2,1,0.791312,0.959272702,FALSE
VCAN,0.78,0.263465,0.742525167,FALSE
CDH1,1.04,0.4765982,0.857476254,FALSE
HSPA5,0.92,0.3790923,0.816860467,FALSE
TPR,1.1,0.120219,0.596561025,FALSE
USP28,0.81,0.2060733,0.698227912,FALSE
RRM2B,0.93,0.3184333,0.779192404,FALSE
LIMA1,1,0.9465332,0.988722441,FALSE
MAPK9,1,0.9733738,0.994099336,FALSE
ARID4B,0.96,0.8104255,0.961974836,FALSE
EIF2AK2,1,0.9756534,0.99466579,FALSE
ATG5,0.65,0.1166142,0.592015265,FALSE
HDAC7,1.06,0.6523411,0.930763137,FALSE
HIPK2,0.86,0.411848,0.829358693,FALSE
MYLK,0.9,0.3823073,0.818909539,FALSE
ME1,1.14,0.377196,0.815638947,FALSE
MTHFD2,1.05,0.4773518,0.857702025,FALSE
PPP2R5A,0.98,0.3070106,0.771752399,FALSE
SMARCD1,0.98,0.8554257,0.969587115,FALSE
KDM4A,1.33,0.2686976,0.744743468,FALSE
SPI1,0.97,0.4006322,0.825827251,FALSE
FGFR2,0.97,0.3947028,0.823481467,FALSE
TP53BP1,0.47,0.127281,0.604123029,FALSE
SYT1,0.85,0.1435114,0.628617344,FALSE
HDAC4,1,0.9728178,0.994085106,FALSE
RASSF1,0.98,0.7012864,0.942735071,FALSE
MEF2A,1.07,0.4194702,0.831873836,FALSE
BCL3,1.05,0.8645318,0.97226074,FALSE
NEDD4,1.03,0.387045,0.820660843,FALSE
WIPI1,0.99,0.6560895,0.93175747,FALSE
SREBF1,1.02,0.6534134,0.930763137,FALSE
TP63,0.71,0.02445877,0.318406914,FALSE
PTGS2,0.96,0.5217099,0.874398713,FALSE
NUAK1,1,0.9734542,0.994099336,FALSE
ENO1,1.02,0.6016685,0.913218305,FALSE
FSCN1,0.94,0.1967813,0.689903552,FALSE
RAP1GAP,0.99,0.5476074,0.888221466,FALSE
RARB,1.14,0.5108446,0.871575596,FALSE
SIRT6,1.02,0.8452415,0.967973749,FALSE
FGFR1,0.98,0.701287,0.942735071,FALSE
TIGAR,0.95,0.4409606,0.841563488,FALSE
HOXA9,0.95,0.2457868,0.729764078,FALSE
SENP1,1.21,0.1114639,0.583554008,FALSE
KEAP1,0.83,0.2444865,0.729084254,FALSE
SMARCA2,1.06,0.5968376,0.910844917,FALSE
HSP90AA1,0.95,0.3561547,0.802174945,FALSE
RBL1,0.93,0.3883798,0.821042693,FALSE
ME2,0.93,0.1286197,0.606443817,FALSE
GSK3B,1.01,0.8310628,0.965087088,FALSE
XPO1,0.78,0.3189135,0.77934901,FALSE
ZMPSTE24,1.06,0.518297,0.873808783,FALSE
CD82,0.97,0.7714654,0.955196293,FALSE
ABCB1,1.06,0.6194804,0.920131922,FALSE
AKR1B1,0.97,0.5667791,0.896972863,FALSE
AURKA,0.95,0.7573149,0.951552596,FALSE
PPP1R13B,1.1,0.5384732,0.883263101,FALSE
MAVS,0.89,0.04080587,0.395786222,FALSE
MAPKAPK5,0.95,0.3897263,0.821588554,FALSE
KDM2B,1.76,0.1115649,0.583554008,FALSE
PEBP1,1.02,0.510288,0.871575596,FALSE
BIRC5,0.99,0.8598182,0.971389089,FALSE
YPEL3,1.12,0.02889805,0.340500435,FALSE
ESR1,1.01,0.9392144,0.986592981,FALSE
HAUS4,0.98,0.2821601,0.754589632,FALSE
GEMIN2,1.34,0.04324891,0.406617447,FALSE
TRPM7,0.88,0.306985,0.771752399,FALSE
PHGDH,1.01,0.7490408,0.950677856,FALSE
CDC45,0.93,0.7278811,0.945673244,FALSE
HIVEP1,1.05,0.6560757,0.93175747,FALSE
