algorithm,train_auc,train_lo,train_hi,internal_test_auc,internal_test_lo,internal_test_hi,external_test_auc,external_test_lo,external_test_hi
rf,1,1,1,0.68361581920904,0.586169202382277,0.781062436035803,0.791111111111111,0.65750775125376,0.924714470968462
svm,0.893531314319318,0.860975259473233,0.926087369165403,0.681194511702987,0.584074610652137,0.778314412753835,0.675555555555555,0.512170860281626,0.838940250829486
knn,0.829359012055278,0.789007430366155,0.869710593744401,0.681059994619317,0.585274508274788,0.776845480963845,0.706666666666667,0.547761726044196,0.865571607289138
ann,0.879211996471627,0.843458835640168,0.914965157303084,0.653753026634383,0.555169962561171,0.752336090707594,0.544444444444444,0.364555747649991,0.724333141238898
xgboost,0.938268156424581,0.914116754998628,0.962419557850534,0.639090664514393,0.540214016923585,0.737967312105202,0.478888888888889,0.295519791646072,0.662257986131706
logreg,0.754866215818877,0.705005779614461,0.804726652023293,0.62604250739844,0.525961259813201,0.726123754983678,0.188888888888889,0.0496314826372516,0.328146295140526
