algorithm,train_auc,train_lo,train_hi,internal_test_auc,internal_test_lo,internal_test_hi,external_test_auc,external_test_lo,external_test_hi
svm,0.949561403508772,0.918818283485864,0.980304523531679,0.742608695652174,0.59816926175584,0.887048129548507,,,
rf,1,1,1,0.717391304347826,0.569305852099139,0.865476756596513,,,
knn,0.825657894736842,0.759516050137084,0.8917997393366,0.693913043478261,0.541855191508001,0.84597089544852,,,
logreg,0.682748538011696,0.594907187809939,0.770589888213452,0.678260869565217,0.507438706251262,0.849083032879173,,,
xgboost,0.984466374269006,0.96925161089788,0.999681137640132,0.668695652173913,0.511947801287274,0.825443503060552,,,
ann,0.954861111111111,0.925107811153923,0.984614411068299,0.650434782608696,0.487611795531542,0.813257769685849,,,
